HI antigen strain,GISAID ID
A/Fujian/411/02,EPI_ISL_9798
A/Finland/170/03,EPI_ISL_4246
A/Panama/2007/99,EPI_ISL_2674
A/New York/55/01,EPI_ISL_68002
A/Latvia/1506/03,EPI_ISL_187634
A/Netherlands/548/2005,EPI_ISL_398266
A/Slovakia/134/2006,EPI_ISL_100371
A/Berlin/2/2006,EPI_ISL_100373
A/Johannesburg/245/2006,EPI_ISL_100370
A/California/7/2004,EPI_ISL_113070
A/Paris/2030/2008,EPI_ISL_164037
A/Netherlands/177/2008,EPI_ISL_166361
A/Toyama/123/2008,EPI_ISL_28213
A/Perth/27/2007,EPI_ISL_167302
A/Brisbane/10/2007,EPI_ISL_25019
A/Johannesburg/91/2007,EPI_ISL_356951
A/Johannesburg/66/2007,EPI_ISL_356948
A/Hong Kong/2571/2007,EPI_ISL_187627
A/Johannesburg/74/07,EPI_ISL_356950
A/Sweden/6/08,EPI_ISL_70650
A/Sweden/9/2008,EPI_ISL_70647
A/Firenze/24/08,EPI_ISL_61710
A/Bremen/1/2009,EPI_ISL_175344
A/Slovenia/55/2009,EPI_ISL_61727
A/Cluj/35/2009,EPI_ISL_61744
A/Algeria/G217/2009,EPI_ISL_61770
A/Nevada/05/2007,EPI_ISL_15411
A/Hong Kong/1985/2009,EPI_ISL_60840
A/England/233/2009,EPI_ISL_60047
A/Hong Kong/2146/2010,EPI_ISL_79617
A/Perth/16/2009,EPI_ISL_167306
A/Hong Kong/1952/2009,EPI_ISL_60839
A/Hong Kong/34430/2009,EPI_ISL_66704
A/Philippines/2191/2009,EPI_ISL_66607
A/Norway/3789/2009,EPI_ISL_77128
A/Norway/3790/2009,EPI_ISL_77129
A/Finland/638/2009,EPI_ISL_77119
A/Finland/640/2009,EPI_ISL_186787
A/Cameroon/704/2009,EPI_ISL_77112
A/Stockholm/112/2009,EPI_ISL_68574
A/Israel/22/2009,EPI_ISL_77134
A/Israel/24/2009,EPI_ISL_77132
A/Israel/26/2009,EPI_ISL_77133
A/Lyon/Cx-R/3120/2009,EPI_ISL_77121
A/Perth/15/2009,EPI_ISL_60760
A/Hong Kong/2142/2009,EPI_ISL_60026
A/Johannesburg/126/2009,EPI_ISL_60041
A/Serbia/822/2011,EPI_ISL_93704
A/Serbia/1580/2011,EPI_ISL_93705
A/Serbia/1605/2011,EPI_ISL_93706
A/Serbia/1731/2011,EPI_ISL_93707
A/Serbia/1891/2011,EPI_ISL_93708
A/Bulgaria/182/2012,EPI_ISL_117432
A/Bulgaria/217/2012,EPI_ISL_117433
A/Bulgaria/280/2012,EPI_ISL_117435
A/Bulgaria/311/2012,EPI_ISL_117436
A/Bulgaria/312/2012,EPI_ISL_117437
A/Bulgaria/313/2012,EPI_ISL_117438
A/Bulgaria/314/2012,EPI_ISL_117439
A/Firenze/1/2011,EPI_ISL_104121
A/Firenze/3/2011,EPI_ISL_104122
A/Catalonia/S4320/2011,EPI_ISL_101392
A/Salamanca/4/2012,EPI_ISL_104128
A/Netherlands/710/2011,EPI_ISL_104143
A/Netherlands/001/2012,EPI_ISL_104145
A/Lisboa/23/2012,EPI_ISL_122230
A/Iceland/17/2012,EPI_ISL_122653
A/Parma/139/2012,EPI_ISL_122679
A/Denmark/38/2012,EPI_ISL_117398
A/Lisboa/61/2012,EPI_ISL_122249
A/Lisboa/38/2012,EPI_ISL_122242
A/Lisboa/58/2012,EPI_ISL_122272
A/Lisboa/59/2012,EPI_ISL_122248
A/Stockholm/19/2012,EPI_ISL_122682
A/Stockholm/21/2012,EPI_ISL_120293
A/Tehran/8331/2011,EPI_ISL_103307
A/Esfahan/8343/2011,EPI_ISL_103308
A/Slovenia/2855/2011,EPI_ISL_103261
A/Slovenia/2970/2011,EPI_ISL_103262
A/Castilla La Mancha/RR8871/2011,EPI_ISL_103268
A/Slovenia/9/2012,EPI_ISL_103263
A/Norway/1789/2011,EPI_ISL_96028
A/Denmark/87/2011,EPI_ISL_107844
A/Switzerland/5834715/2012,EPI_ISL_104119
A/Switzerland/5834718/2012,EPI_ISL_104120
A/Brandenburg/1/2012,EPI_ISL_107839
A/Jordan/20110030655/2011,EPI_ISL_107865
A/Bursa/108/2011,EPI_ISL_107840
A/Turkey/01/2011,EPI_ISL_104111
A/Turkey/32/2011,EPI_ISL_104142
A/Austria/654044/2012,EPI_ISL_107833
A/Norway/114/2012,EPI_ISL_107881
A/Netherlands/002/2012,EPI_ISL_104146
A/Austria/653679/2012,EPI_ISL_107832
A/Hong Kong/3969/2011,EPI_ISL_94725
A/Switzerland/5834730/2012,EPI_ISL_107892
A/Galati/88977/2012,EPI_ISL_107849
A/Braila/89501/2012,EPI_ISL_107838
A/Iasi/89451/2012,EPI_ISL_107852
A/Stockholm/12-00694/2012,EPI_ISL_107888
A/Stockholm/37/2011,EPI_ISL_100468
A/Antalya/214/2011,EPI_ISL_107819
A/Turkey/33/2011,EPI_ISL_107902
A/Turkey/38/2011,EPI_ISL_107904
A/Turkey/51/2011,EPI_ISL_107907
A/Turkey/57/2011,EPI_ISL_107909
A/Pays de Loire/882/2012,EPI_ISL_129064
A/Centre/929/2012,EPI_ISL_129051
A/Guyane/1297/2012 (A/Guadeloupe/45/2012),EPI_ISL_128050
A/Madagascar/03536/2012,EPI_ISL_128065
A/Bourgogne/850/2012,EPI_ISL_128025
A/Dakar/01/2012,EPI_ISL_129066
A/Dakar/02/2012,EPI_ISL_129052
A/Caen/539/2012,EPI_ISL_128027
A/Belgrade/1420/2012,EPI_ISL_128016
A/Belgrade/449/2012,EPI_ISL_128021
A/Ukraine/114/2012,EPI_ISL_121972
A/Ireland/12V2794/2012,EPI_ISL_121934
A/Stockholm/32/2011,EPI_ISL_103248
A/Sabac/1370/2012,EPI_ISL_128080
A/Glasgow/407664/2012,EPI_ISL_117473
A/Glasgow/407665/2012,EPI_ISL_117474
A/Rostov-on-Don/1/2012,EPI_ISL_121956
A/Stockholm/23/2011,EPI_ISL_103271
A/Stockholm/24/2011,EPI_ISL_97048
A/Algeria/G04/2011,EPI_ISL_103255
A/Algeria/G05/2011,EPI_ISL_103301
A/Stockholm/34/2011,EPI_ISL_103249
A/Estonia/66073/2012,EPI_ISL_121915
A/Serbia/NS-200/2013,EPI_ISL_143558
A/Serbia/NS-210/2013,EPI_ISL_143559
A/Astrakhan/5/2013,EPI_ISL_141665
A/Valladolid/95/2013,EPI_ISL_143578
A/Belgrade/648/2013,EPI_ISL_144012
A/Dnipropetrovsk/361/2013,EPI_ISL_144017
A/Ukraine/275/2013,EPI_ISL_144035
A/Dnipropetrovsk/390/2013,EPI_ISL_144019
A/Dnipropetrovsk/364/2013,EPI_ISL_144018
A/Yamaguchi/30/2012,EPI_ISL_134860
A/Norway/2423/2012,EPI_ISL_144868
A/Paris/1651/2012,EPI_ISL_134343
A/Delaware/15/2012,EPI_ISL_132114
A/Lithuania/8003/2013,EPI_ISL_145957
A/Stockholm/10/2013,EPI_ISL_139631
A/Osaka/32/2013,EPI_ISL_148477
A/Timis/136369/2013,EPI_ISL_144916
A/Moldova/326/2013,EPI_ISL_144030
A/Hong Kong/419/2013,EPI_ISL_144799
A/Ukraine/5840/2013,EPI_ISL_144040
A/Norway/2200/2013,EPI_ISL_145491
A/Israel/19/2013,EPI_ISL_136382
A/Plzen/17/2013,EPI_ISL_144044
A/Tulkarem/83/2013,EPI_ISL_143560
A/Slovenia/218/2013,EPI_ISL_143569
A/Slovenia/388/2013,EPI_ISL_143570
A/Slovenia/466/2013,EPI_ISL_143571
A/Novosibirsk/6/2012,EPI_ISL_117477
A/Novosibirsk/8/2012,EPI_ISL_117478
A/Slovenia/760/2013,EPI_ISL_143575
A/Lisboa/147/2013,EPI_ISL_154761
A/Zambia/13/109/2013,EPI_ISL_162154
A/England/104/2013,EPI_ISL_141669
A/Catalonia/2070282NS/2013,EPI_ISL_135134
A/Catalonia/5742S/2013,EPI_ISL_140341
A/Catalonia/2071057NS/2013,EPI_ISL_135135
A/Mauritius/571/2013,EPI_ISL_150599
A/Norway/120/2014,EPI_ISL_162117
A/Norway/226/2014,EPI_ISL_162122
A/Molodechno/1598/2012,EPI_ISL_122667
A/Minsk/1737/2012,EPI_ISL_122666
A/Belgium/G0528/2013,EPI_ISL_144792
A/Minsk/1262/2013,EPI_ISL_145528
A/Belgium/G1067/2013,EPI_ISL_144794
A/Belgium/S0923/2013,EPI_ISL_144795
A/Stockholm/18/2014,EPI_ISL_166460
A/Stockholm/29/2014,EPI_ISL_169257
A/Switzerland/9715293/2013,EPI_ISL_166310
A/Finland/428/2014,EPI_ISL_170167
A/Finland/437/2014,EPI_ISL_165546
A/Finland/438/2014,EPI_ISL_165547
A/Finland/439/2014,EPI_ISL_165548
A/North Carolina/13/2014,EPI_ISL_171758
A/Madagascar/2676/2014,EPI_ISL_171752
A/Madagascar/2735/2014,EPI_ISL_171754
A/Madagascar/2739/2014,EPI_ISL_171755
A/Hong Kong/4800/2014,EPI_ISL_165553
A/Hong Kong/5739/2014,EPI_ISL_165556
A/Stockholm/7/2015,EPI_ISL_172929
A/Stockholm/8/2015,EPI_ISL_172930
A/Stockholm/13/2015,EPI_ISL_177059
A/Sweden/15/2015,EPI_ISL_177076
A/Ghana/DILI-15-0233/2015,EPI_ISL_191771
A/Ghana/FS-15-0185/2015,EPI_ISL_191774
A/Dunajska Streda/232/2017,EPI_ISL_275499
A/Piestany/80/2016,EPI_ISL_275513
A/Ukraine/7767/2017,EPI_ISL_273293
A/Hong Kong/4801/2014,EPI_ISL_16706634
A/Oman/4926/2015,EPI_ISL_215861
A/Jordan/4054/2015,EPI_ISL_215879
A/Padova/17/2016,EPI_ISL_224555
A/Bolzano/9/2016,EPI_ISL_224531
A/Serbia/361/2015,EPI_ISL_201696
A/England/333/2015,EPI_ISL_203391
A/Czech Republic/169/2016,EPI_ISL_257363
A/Stockholm/28/2016,EPI_ISL_220472
A/Zaporizza/157/2017,EPI_ISL_273294
A/Thuringen/165/2017,EPI_ISL_274124
A/Hong Kong/3159/2017,EPI_ISL_274756
A/Hong Kong/3162/2017,EPI_ISL_274759
A/England/553/2018,EPI_ISL_314162
A/Singapore/INFIMH-16-0019/2016,EPI_ISL_16891359
A/Mauritius/1115/2017,EPI_ISL_314167
A/Nantes/1441/2017,EPI_ISL_284658
A/Athens.GR/25/2020,EPI_ISL_409940
A/Hong_Kong/2473/2017,EPI_ISL_280279
A/Hong_Kong/3730/2017,EPI_ISL_280285
A/Hong_Kong/3823/2017,EPI_ISL_280291
A/Linkoping/5/2016,EPI_ISL_241918
A/Hong Kong/2283/2017,EPI_ISL_269021
A/Hong Kong/699/2020,EPI_ISL_732336
A/Hong Kong/702/2020,EPI_ISL_732318
A/Hong Kong/706/2020,EPI_ISL_732330
A/St. Petersburg/1092V/2019,EPI_ISL_389228
A/Pays de Loire/040/2019,EPI_ISL_338768
A/Iasi/239836/2019,EPI_ISL_347148
A/Hong Kong/2671/2019,EPI_ISL_391201
A/Hong Kong/2669/2019,EPI_ISL_377300
A/West Kazakhstan/463/2019,EPI_ISL_377349
A/Switzerland/293/2018,EPI_ISL_337946
A/Finland/183/2020,EPI_ISL_486701
A/Oman/4262/2019,EPI_ISL_394036
A/Hong Kong/2679/2019,EPI_ISL_377309
A/Hong Kong/2676/2019,EPI_ISL_377307
A/Qatar/34-VI-21-3664968/2021,EPI_ISL_6075486
A/Cambodia/923251/2020,EPI_ISL_732319
A/Stockholm/6/2021,EPI_ISL_3315858
A/Saudi-Arabia/6/2021,EPI_ISL_13339920
A/Lebanon/8505/2021,EPI_ISL_12240147
A/Lebanon/8500/2021,EPI_ISL_12240146
A/Lebanon/8497/2021,EPI_ISL_9593254
A/Romania/515116/2022,EPI_ISL_14212985
A/Romania/516030/2022,EPI_ISL_14212992
A/Romania/515274/2022,EPI_ISL_14212995
A/Perugia/26/2022,EPI_ISL_14213003
A/Romania/516042/2022,EPI_ISL_14212965
A/Poland/76/2022,EPI_ISL_14212930
A/Perugia/35/2022,EPI_ISL_14213001
A/Romania/516460/2022,EPI_ISL_14212972
A/Romania/516376/2022,EPI_ISL_14212971
A/Romania/516374/2022,EPI_ISL_14212970
A/Poland/77/2022,EPI_ISL_14212947
A/Romania/516884/2022,EPI_ISL_14212964
A/Romania/516962/2022,EPI_ISL_14212978
A/Romania/516961/2022,EPI_ISL_14212977
A/Poland/96/2022,EPI_ISL_14212949
A/Poland/101/2022,EPI_ISL_14212923
A/Romania/521767/2022,EPI_ISL_14212981
A/Darwin/9/2021,EPI_ISL_2233240
A/Netherlands/10222/2021,EPI_ISL_14212983
A/Bolzano/3/2022,EPI_ISL_14212938
A/Beirut/5518/2021,EPI_ISL_6915272
A/Tripoli/5651/2021,EPI_ISL_6075502
A/Tripoli/5646/2021,EPI_ISL_7353819
A/Arsal/5773/2021,EPI_ISL_6075498
A/Arsal/5767/2021,EPI_ISL_6075501
A/Tripoli/5937/2021,EPI_ISL_6075495
A/Saida/5915/2021,EPI_ISL_6075496
A/Saudi Arabia/11/2021,EPI_ISL_14381902
A/Slovenia/9454/2022,EPI_ISL_14333130
A/Slovenia/9456/2022,EPI_ISL_14333129
A/Slovenia/9565/2022,EPI_ISL_14333135
A/Slovenia/9560/2022,EPI_ISL_14333137
A/Slovenia/9623/2022,EPI_ISL_14333126
A/Slovenia/9670/2022,EPI_ISL_14333121
A/Slovenia/9668/2022,EPI_ISL_14333125
A/Slovenia/9706/2022,EPI_ISL_14333124
A/Slovenia/9676/2022,EPI_ISL_14333028
A/Slovenia/9737/2022,EPI_ISL_14333043
A/Slovenia/9739/2022,EPI_ISL_14333036
A/Spain/1097/2022,EPI_ISL_14333082
A/Spain/1105/2022,EPI_ISL_14333108
A/Spain/1100/2022,EPI_ISL_14333087
A/Spain/1099/2022,EPI_ISL_14333103
A/Spain/1098/2022,EPI_ISL_13339924
A/Spain/1109/2022,EPI_ISL_13339928
A/Spain/1108/2022,EPI_ISL_13339927
A/Greece/267/2022,EPI_ISL_17223662
A/SaudiArabia/2439/2022,EPI_ISL_18044541
A/Bouira/44511/2022,EPI_ISL_18044540
A/Argentina/3151/2022,EPI_ISL_16750074
A/Switzerland/24157/2022,EPI_ISL_16759971
A/Valladolid/17/2023,EPI_ISL_17223686
A/Albania/290586/2023,EPI_ISL_17223816
A/Austria/134419/03,EPI_ISL_19095
A/Wisconsin/67/2005,EPI_ISL_21213
A/Berlin/5/2006,EPI_ISL_22749
A/Berlin/32/2006,EPI_ISL_22754
A/Lyon/1359/06,EPI_ISL_20289
A/Lyon/1324/06,EPI_ISL_20286
A/Singapore/N593/2008,EPI_ISL_186754
A/Sweden/3/08,EPI_ISL_70653
A/England/687/2008,EPI_ISL_186997
A/Seoul/4436/2008,EPI_ISL_62932
A/Switzerland/1409281/2008,EPI_ISL_61732
A/Poitiers/1341/08,EPI_ISL_187990
A/Bratislava/144/2009,EPI_ISL_61741
A/Tanger/533/09,EPI_ISL_61768
A/Torino/14/08,EPI_ISL_61751
A/Algeria/G202/2009,EPI_ISL_61769
A/Lisboa/01/2009,EPI_ISL_188015
A/Valladolid/14/2009,EPI_ISL_61771
A/Prague/63/2009,EPI_ISL_186455
A/Maevatanana/974/2013,EPI_ISL_145487
A/Slovenia/274/2012,EPI_ISL_121959
A/Estonia/65266/2012,EPI_ISL_121913
A/Norway/657/2012,EPI_ISL_121945
A/Estonia/66788/2012,EPI_ISL_121920
A/Estonia/66837/2012,EPI_ISL_121921
A/Estonia/67238/2012,EPI_ISL_121923
A/Estonia/67221/2012,EPI_ISL_121922
A/Stockholm/30/2012,EPI_ISL_134181
A/Stockholm/31/2012,EPI_ISL_134182
A/Mecklenburg Vorpommern/4/2012,EPI_ISL_132904
A/Stockholm/38/2012,EPI_ISL_131851
A/Stockholm/40/2012,EPI_ISL_136400
A/Stockholm/37/2012,EPI_ISL_131856
A/Niedersachsen/29/2012,EPI_ISL_132906
A/England/256/2011,EPI_ISL_99874
A/England/255/2011,EPI_ISL_99873
A/Tunisia/15685/2011,EPI_ISL_99878
A/Zamora/87/2012,EPI_ISL_143580
A/Malta/MV720824/2013,EPI_ISL_138478
A/Petrozavodsk/1/2012,EPI_ISL_117480
A/Antananarivo/3635/2012,EPI_ISL_141661
A/Firenze/13/2013,EPI_ISL_144020
A/Belgium/G1010/2012,EPI_ISL_136364
A/Belgium/S0325/2012,EPI_ISL_136366
A/Latvia/1-37023/2013,EPI_ISL_136387
A/Trieste/12/2013,EPI_ISL_144034
A/Iceland/30/2013,EPI_ISL_144026
A/Fukui/78/2015,EPI_ISL_197512
A/Serbia/NS-949/2015,EPI_ISL_190929
A/Slovenia/314/2015,EPI_ISL_193181
A/Mauritius/I-288/2015,EPI_ISL_193173
A/Madagascar/2576/2014,EPI_ISL_179359
A/Madagascar/2572/2014,EPI_ISL_179358
A/Madagascar/2636/2014,EPI_ISL_179361
A/Madagascar/2632/2014,EPI_ISL_179360
A/Maevatanana/172/2015,EPI_ISL_190920
A/Tsiroanomandidy/1384/2015,EPI_ISL_190932
A/Jilin-Yanji/1179/2015,EPI_ISL_201695
A/Norway/4676/2016,EPI_ISL_242791
A/Norway/4858/2016,EPI_ISL_244206
A/Hong Kong/2262/2016,EPI_ISL_237574
A/Czech Republic/176/2016,EPI_ISL_257364
A/Belarus/1140/2017,EPI_ISL_257353
A/Hong Kong/2285/2017,EPI_ISL_269023
A/Oman/3542/2018,EPI_ISL_356730
A/Oman/3356/2018,EPI_ISL_331357
A/Sweden/11/2018,EPI_ISL_314683
A/Hong_Kong/3815/2017,EPI_ISL_278084
A/Hong_Kong/3820/2017,EPI_ISL_280289
A/Hong_Kong/3800/2017,EPI_ISL_278083
A/Hong_Kong/3856/2017,EPI_ISL_293082
A/Hong_Kong/4105/2017,EPI_ISL_293093
A/Sweden/37/2018,EPI_ISL_310245
A/Switzerland/143/2017,EPI_ISL_303948
A/Valladolid/24/2019,EPI_ISL_355125
A/Poland/1521/2020,EPI_ISL_410029
A/Lithuania/MB398/2020,EPI_ISL_410000
A/Czech Republic/38/2020,EPI_ISL_409973
A/Valladolid/560/2018,EPI_ISL_355128
A/Valladolid/2/2019,EPI_ISL_355124
A/Valladolid/9/2019,EPI_ISL_355129
A/Valladolid/13/2019,EPI_ISL_355121
A/Valladolid/18/2019,EPI_ISL_355123
A/Valladolid/25/2019,EPI_ISL_355126
A/Tetouan/671/2019,EPI_ISL_355116
A/Nitra/106/2019,EPI_ISL_377341
A/Macedonia/1283/2019,EPI_ISL_377324
A/Galanta/473/2019,EPI_ISL_377297
A/Malta/53539/2019,EPI_ISL_347719
A/Latvia/03-012433/2019,EPI_ISL_355063
A/Palermo/13/2019,EPI_ISL_388734
A/Basse Normandie/1798/2019,EPI_ISL_388689
A/Castilla La Mancha/242/2019,EPI_ISL_355086
A/Torino/771/2019,EPI_ISL_388745
A/Ukraine/8103/2019,EPI_ISL_342036
A/Portugal/151/2019,EPI_ISL_342027
A/Portugal/146/2019,EPI_ISL_342026
A/Torino/780/2019,EPI_ISL_388746
A/Palermo/20/2019,EPI_ISL_388735
A/Lisboa/92/2019,EPI_ISL_367788
A/Lisboa/91/2019,EPI_ISL_367787
A/Lisboa/94/2019,EPI_ISL_367790
A/Lisboa/95/2019,EPI_ISL_367791
A/Tanger/672/2019,EPI_ISL_367811
A/Finland/104/2019,EPI_ISL_357714
A/England/138/2019,EPI_ISL_389198
A/England/185/2019,EPI_ISL_364739
A/England/155/2019,EPI_ISL_389200
A/England/157/2019,EPI_ISL_389202
A/England/156/2019,EPI_ISL_364755
A/England/222/2019,EPI_ISL_364760
A/England/102/2019,EPI_ISL_364744
A/Tomsk/5645V/2019,EPI_ISL_389229
A/Belgium/G0023/2019,EPI_ISL_391203
A/Belgium/S0275/2019,EPI_ISL_344072
A/Berlin/28/2019,EPI_ISL_355024
A/Khmelnytskyi/544/2018,EPI_ISL_347701
A/Khmelnytskyi/545/2018,EPI_ISL_347714
A/Khmelnytskyi/547/2018,EPI_ISL_347713
A/Kyiv/510/2018,EPI_ISL_347697
A/Bangladesh/1001/2020,EPI_ISL_717679
A/Bangladesh/2004/2020,EPI_ISL_717685
A/Bangladesh/4005/2020,EPI_ISL_717674
A/Bangladesh/911009/2020,EPI_ISL_1015484
A/Beirut/421/2020,EPI_ISL_529039
A/Netherlands/00007/2021,EPI_ISL_6915284
A/FVG-Trieste/05/2022,EPI_ISL_14212943
A/Parma/2/2022,EPI_ISL_14212955
A/FVG-Trieste/13/2022,EPI_ISL_14212956
A/FVG-Trieste/16/2022,EPI_ISL_14212957
A/Sassari/4/2022,EPI_ISL_14212975
A/Sassari/7/2022,EPI_ISL_14213007
A/Sassari/9/2022,EPI_ISL_14213008
A/Perugia/23/2022,EPI_ISL_14213009
A/Qatar/16-VI-19-0049409/2019,EPI_ISL_529133
A/Iran/80/Ab/8A/2021,EPI_ISL_9593238
A/Iran/86/Ab/8A/2021,EPI_ISL_9593231
A/Romania/495026/2021,EPI_ISL_9627690
A/Hungary/1/2022,EPI_ISL_9593232
A/Hungary/2/2022,EPI_ISL_9593233
A/Orebro/1/2021,EPI_ISL_5743010
A/Uppsala/1/2021,EPI_ISL_9402236
A/Uppsala/3/2021,EPI_ISL_9402233
A/Uppsala/6/2021,EPI_ISL_7637989
A/Sweden/1/2021,EPI_ISL_7638020
A/Uppsala/8/2021,EPI_ISL_9402231
A/Uppsala/11/2021,EPI_ISL_9402229
A/Uppsala/12/2021,EPI_ISL_9402020
A/Tripoli.LBN/7325/2021,EPI_ISL_9533465
A/Baabda.LBN/7463/2021,EPI_ISL_7992169
A/Baabda.LBN/7462/2021,EPI_ISL_7992243
A/Netherlands/10205/2021,EPI_ISL_8452432
A/Darwin/6/2021,EPI_ISL_1563628
A/Thuringen/1/2022,EPI_ISL_12219584
A/Norway/409/2022,EPI_ISL_12240184
A/Serbia/336/2022,EPI_ISL_12219509
A/Kosova/368/2021,EPI_ISL_12942467
A/Albania/9833/2021,EPI_ISL_12942255
A/Netherlands/10197/2021,EPI_ISL_12942943
A/Slovenia/8720/2022,EPI_ISL_12943148
A/Poland/52/2022,EPI_ISL_15938119
A/Poland/65/2022,EPI_ISL_15364236
A/Argentina/2973/2022,EPI_ISL_14660223
A/Norway/28359/2022,EPI_ISL_15364230
A/Lithuania/48774/2022,EPI_ISL_16751013
A/Belgium/S1074/2022,EPI_ISL_14648469
A/Austria/1494246/2022,EPI_ISL_14333114
A/Belgium/G0197/2022,EPI_ISL_14648475
A/Estonia/KL4914/2022,EPI_ISL_14381883
A/Estonia/KL4911/2022,EPI_ISL_14381884
A/Estonia/KL4967/2022,EPI_ISL_14381882
A/Austria/1510167/2022,EPI_ISL_14648463
A/Estonia/169447/2022,EPI_ISL_14381880
A/Estonia/169303/2022,EPI_ISL_14381881
A/Estonia/169446/2022,EPI_ISL_14491825
A/Estonia/169344/2022,EPI_ISL_14381885
A/Estonia/169343/2022,EPI_ISL_14381906
A/Austria/1510472/2022,EPI_ISL_13704097
A/Estonia/169390/2022,EPI_ISL_14381915
A/Estonia/169421/2022,EPI_ISL_14381909
A/Estonia/169420/2022,EPI_ISL_14381910
A/Estonia/169386/2022,EPI_ISL_14381911
A/Estonia/169385/2022,EPI_ISL_14381912
A/Estonia/169384/2022,EPI_ISL_14381913
A/Austria/1512885/2022,EPI_ISL_14381947
A/Austria/1513868/2022,EPI_ISL_14381934
A/Romania/521422/2022,EPI_ISL_14212982
A/Netherlands/10884/2022,EPI_ISL_12064244
A/Moldova/20837/2022,EPI_ISL_13704096
A/Victoria/208/2009,EPI_ISL_167304
A/Johannesburg/385/2009,EPI_ISL_60040
A/Mauritius/461/2009,EPI_ISL_60054
A/Ghana/FS-1031/2009,EPI_ISL_60049
A/Cameroon/422/2009,EPI_ISL_77125
A/Paris/6047/2009,EPI_ISL_77136
A/Cameroon/658/2009,EPI_ISL_77110
A/Algeria/G46/2009,EPI_ISL_66708
A/Suceava/87402/2012,EPI_ISL_107891
A/Bacau/88448/2012,EPI_ISL_107835
A/Stockholm/44/2011,EPI_ISL_102581
A/Turkey/08/2011,EPI_ISL_104112
A/Turkey/12/2011,EPI_ISL_104113
A/Belgium/G1063/2011,EPI_ISL_103294
A/Meknes/136H/2011,EPI_ISL_103286
A/Norway/2350/2011,EPI_ISL_100509
A/Casablanca/155/2011,EPI_ISL_103283
A/Tiznit/167/2011,EPI_ISL_103284
A/Oujda/144H/2011,EPI_ISL_103305
A/Dnipro/234/2014,EPI_ISL_162108
A/Georgia/699/2014,EPI_ISL_162112
A/Georgia/215/2014,EPI_ISL_163096
A/Belgium/14S0070/2014,EPI_ISL_163092
A/Hong Kong/7364/2014,EPI_ISL_168982
A/Hong Kong/6033/2014,EPI_ISL_168969
A/Hong Kong/7229/2014,EPI_ISL_168973
A/Hong Kong/7313/2014,EPI_ISL_168979
A/Paris/2511/2018,EPI_ISL_336105
A/Paris/2538/2018,EPI_ISL_336106
A/Paris/2671/2018,EPI_ISL_338766
A/Bretagne/026/2019,EPI_ISL_338741
A/Paris/029/2019,EPI_ISL_335986
A/Austria/1113943/2018,EPI_ISL_364763
A/Khmelnytskyi/155/2019,EPI_ISL_364795
A/Hong_Kong/2671/2019,EPI_ISL_391201
