region,season,minimum cluster size,fdr,"difference between identified dominant strain and original dominant strain (cs3, fdr0.2)"
us,2002-2003,3,0.1,match
us,2002-2003,3,0.2,match
us,2002-2003,5,0.2,match
us,2002-2003,5,0.1,match
us,2003-2004,3,0.2,match
us,2003-2004,3,0.1,match
us,2003-2004,5,0.1,match
us,2003-2004,5,0.2,match
us,2004-2005,5,0.2,match
us,2004-2005,5,0.1,match
us,2004-2005,3,0.1,match
us,2004-2005,3,0.2,match
us,2005-2006,5,0.2,match
us,2005-2006,5,0.1,match
us,2005-2006,3,0.1,match
us,2005-2006,3,0.2,match
us,2006-2007,3,0.2,match
us,2006-2007,3,0.1,match
us,2006-2007,5,0.1,match
us,2006-2007,5,0.2,match
us,2007-2008,5,0.2,match
us,2007-2008,5,0.1,match
us,2007-2008,3,0.1,match
us,2007-2008,3,0.2,match
us,2008-2009,3,0.2,match
us,2008-2009,3,0.1,match
us,2008-2009,5,0.1,match
us,2008-2009,5,0.2,match
us,2009-2010,3,0.1,match
us,2009-2010,3,0.2,match
us,2009-2010,5,0.2,match
us,2009-2010,5,0.1,match
us,2010-2011,5,0.1,match
us,2010-2011,5,0.2,match
us,2010-2011,3,0.2,match
us,2010-2011,3,0.1,match
us,2011-2012,5,0.1,match
us,2011-2012,5,0.2,match
us,2011-2012,3,0.2,match
us,2011-2012,3,0.1,match
us,2012-2013,3,0.1,match
us,2012-2013,3,0.2,match
us,2012-2013,5,0.2,match
us,2012-2013,5,0.1,match
us,2013-2014,3,0.2,match
us,2013-2014,3,0.1,match
us,2013-2014,5,0.1,match
us,2013-2014,5,0.2,match
us,2014-2015,5,0.2,match
us,2014-2015,5,0.1,match
us,2014-2015,3,0.1,match
us,2014-2015,3,0.2,match
us,2015-2016,3,0.1,match
us,2015-2016,5,0.2,match
us,2015-2016,5,0.1,match
us,2015-2016,3,0.2,match
us,2016-2017,3,0.2,match
us,2016-2017,3,0.1,match
us,2016-2017,5,0.1,match
us,2016-2017,5,0.2,match
us,2017-2018,5,0.2,match
us,2017-2018,5,0.1,match
us,2017-2018,3,0.2,match
us,2017-2018,3,0.1,match
us,2018-2019,3,0.2,match
us,2018-2019,5,0.1,match
us,2018-2019,3,0.1,match
us,2018-2019,5,0.2,match
us,2019-2020,5,0.2,match
us,2019-2020,3,0.1,match
us,2019-2020,5,0.1,match
us,2019-2020,3,0.2,match
us,2020-2021,5,0.1,match
us,2020-2021,5,0.2,match
us,2020-2021,3,0.2,match
us,2020-2021,3,0.1,match
us,2021-2022,5,0.1,match
us,2021-2022,5,0.2,match
us,2021-2022,3,0.2,match
us,2021-2022,3,0.1,match
us,2022-2023,3,0.1,match
us,2022-2023,3,0.2,match
us,2022-2023,5,0.2,match
us,2022-2023,5,0.1,match
europe,2002-2003,3,0.1,match
europe,2002-2003,3,0.2,match
europe,2003-2004,5,0.2,match
europe,2003-2004,3,0.1,match
europe,2003-2004,5,0.1,match
europe,2003-2004,3,0.2,match
europe,2004-2005,3,0.2,match
europe,2004-2005,5,0.1,match
europe,2004-2005,3,0.1,match
europe,2004-2005,5,0.2,match
europe,2005-2006,3,0.1,match
europe,2005-2006,5,0.2,match
europe,2005-2006,3,0.2,match
europe,2005-2006,5,0.1,match
europe,2006-2007,5,0.2,match
europe,2006-2007,3,0.1,match
europe,2006-2007,5,0.1,match
europe,2006-2007,3,0.2,match
europe,2007-2008,3,0.1,match
europe,2007-2008,5,0.2,match
europe,2007-2008,3,0.2,match
europe,2007-2008,5,0.1,match
europe,2008-2009,3,0.1,match
europe,2008-2009,5,0.1,match
europe,2008-2009,3,0.2,match
europe,2008-2009,5,0.2,match
europe,2009-2010,3,0.2,match
europe,2009-2010,5,0.1,match
europe,2009-2010,3,0.1,match
europe,2009-2010,5,0.2,match
europe,2010-2011,5,0.1,match
europe,2010-2011,3,0.2,match
europe,2010-2011,5,0.2,match
europe,2010-2011,3,0.1,match
europe,2011-2012,5,0.2,match
europe,2011-2012,3,0.1,match
europe,2011-2012,5,0.1,match
europe,2011-2012,3,0.2,match
europe,2012-2013,3,0.1,match
europe,2012-2013,5,0.2,match
europe,2012-2013,3,0.2,match
europe,2012-2013,5,0.1,match
europe,2013-2014,5,0.1,match
europe,2013-2014,3,0.2,match
europe,2013-2014,5,0.2,match
europe,2013-2014,3,0.1,match
europe,2014-2015,3,0.1,match
europe,2014-2015,5,0.2,match
europe,2014-2015,3,0.2,match
europe,2014-2015,5,0.1,match
europe,2015-2016,3,0.2,match
europe,2015-2016,5,0.1,match
europe,2015-2016,3,0.1,match
europe,2015-2016,5,0.2,match
europe,2016-2017,5,0.1,match
europe,2016-2017,3,0.2,match
europe,2016-2017,5,0.2,match
europe,2016-2017,3,0.1,match
europe,2017-2018,3,0.2,match
europe,2017-2018,5,0.1,match
europe,2017-2018,3,0.1,match
europe,2017-2018,5,0.2,match
europe,2018-2019,5,0.2,match
europe,2018-2019,3,0.1,match
europe,2018-2019,5,0.1,match
europe,2018-2019,3,0.2,match
europe,2019-2020,3,0.2,match
europe,2019-2020,5,0.1,match
europe,2019-2020,3,0.1,match
europe,2019-2020,5,0.2,match
europe,2020-2021,5,0.1,match
europe,2020-2021,3,0.2,match
europe,2020-2021,5,0.2,match
europe,2020-2021,3,0.1,match
europe,2021-2022,5,0.2,match
europe,2021-2022,3,0.1,match
europe,2021-2022,5,0.1,match
europe,2021-2022,3,0.2,match
europe,2022-2023,3,0.2,match
europe,2022-2023,5,0.1,epitope: S262N; non-epitope: R33H
europe,2022-2023,3,0.1,match
europe,2022-2023,5,0.2,epitope: S262N; non-epitope: R33H
aunz,2003,3,0.2,match
aunz,2003,5,0.1,match
aunz,2003,3,0.1,match
aunz,2003,5,0.2,match
aunz,2004,5,0.1,match
aunz,2004,3,0.2,match
aunz,2004,5,0.2,match
aunz,2004,3,0.1,match
aunz,2005,3,0.1,match
aunz,2005,5,0.2,match
aunz,2005,3,0.2,match
aunz,2005,5,0.1,match
aunz,2006,3,0.1,match
aunz,2006,5,0.2,match
aunz,2006,3,0.2,match
aunz,2006,5,0.1,match
aunz,2007,3,0.2,match
aunz,2007,5,0.1,match
aunz,2007,3,0.1,match
aunz,2007,5,0.2,match
aunz,2008,5,0.2,match
aunz,2008,3,0.1,match
aunz,2008,5,0.1,match
aunz,2008,3,0.2,match
aunz,2009,3,0.1,match
aunz,2009,3,0.2,match
aunz,2009,5,0.1,match
aunz,2009,5,0.2,match
aunz,2010,5,0.1,match
aunz,2010,3,0.2,match
aunz,2010,5,0.2,match
aunz,2010,3,0.1,match
aunz,2011,3,0.1,match
aunz,2011,5,0.2,match
aunz,2011,3,0.2,match
aunz,2011,5,0.1,match
aunz,2012,3,0.1,match
aunz,2012,5,0.2,match
aunz,2012,3,0.2,match
aunz,2012,5,0.1,match
aunz,2013,5,0.1,match
aunz,2013,3,0.2,match
aunz,2013,5,0.2,match
aunz,2013,3,0.1,match
aunz,2014,3,0.2,match
aunz,2014,5,0.1,match
aunz,2014,3,0.1,match
aunz,2014,5,0.2,match
aunz,2015,5,0.2,match
aunz,2015,3,0.1,match
aunz,2015,5,0.1,match
aunz,2015,3,0.2,match
aunz,2016,5,0.2,match
aunz,2016,3,0.1,match
aunz,2016,5,0.1,match
aunz,2016,3,0.2,match
aunz,2017,5,0.1,match
aunz,2017,3,0.2,match
aunz,2017,5,0.2,match
aunz,2017,3,0.1,match
aunz,2018,3,0.1,epitope: N171T
aunz,2018,5,0.2,epitope: N171T
aunz,2018,3,0.2,epitope: N171T
aunz,2018,5,0.1,epitope: N171T
aunz,2019,5,0.1,match
aunz,2019,3,0.2,match
aunz,2019,5,0.2,match
aunz,2019,3,0.1,match
aunz,2020,3,0.2,match
aunz,2020,5,0.1,match
aunz,2020,3,0.1,match
aunz,2020,5,0.2,match
aunz,2021,5,0.2,match
aunz,2021,3,0.1,match
aunz,2021,5,0.1,match
aunz,2021,3,0.2,match
aunz,2022,5,0.2,match
aunz,2022,3,0.1,match
aunz,2022,5,0.1,match
aunz,2022,3,0.2,match
aunz,2023,3,0.2,match
aunz,2023,5,0.1,match
aunz,2023,3,0.1,match
aunz,2023,5,0.2,match
